classs,question
NUM,ട്രോയ് ഡൊണാഹ്യൂ അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
ENTY,മാഡം ഡി ലാ ഫയെറ്റ് എഴുതിയ സിനിമകളിലെ പ്രധാന ഭാഷകൾ ഏതൊക്കെയാണ്
NUM,ഷെറി മൂൺ സോംബി അഭിനയിച്ച ചിത്രങ്ങൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,ഹോവാർഡ് സ്റ്റെർനുമായി സഹ-രചയിതാവ്
HUM,മരിയോ മച്ചാഡോ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്?
NUM,ഡൊണാൾഡ് റൈസ് സംവിധാനം ചെയ്ത സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
HUM,മിയ കിർഷ്‌നർ അഭിനയിച്ച സിനിമകളുടെ സംവിധായികയായി പട്ടികയിൽ ഇടം നേടിയിട്ടുണ്ട്
HUM,മൗറീസ് വെർണനൊപ്പം സിനിമകൾ എഴുതിയിട്ടുണ്ട്
NUM,എപ്പോഴാണ് ഗോറാൻ മർയനോവിച്ച് അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത്
ENTY,കെൻ്റ് ആൾട്ടർമാൻ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
NUM,മാർക്ക് മക്മാനസ് അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,ഷെമർ മൂർ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്തത്
NUM,വിട്ടോറിയോ ഡി ബെനഡെറ്റി എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,അഹരോൺ കെഷാലെസ് എഴുതിയ സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
NUM,Ede Tarbay എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,കാമെൻ കലേവ് എഴുതിയ സിനിമകളിലെ പ്രധാന ഭാഷകൾ ഏതൊക്കെയാണ്
NUM,കാം ആർച്ചർ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
ENTY,പോൾ ഹാഗിസ് സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
ENTY,ഹിറ്റ് ആൻഡ് റണ്ണിലെ നടൻ ഏത് സിനിമകളിലാണ് പ്രത്യക്ഷപ്പെടുന്നത്
ENTY,സാറാ വില്യംസ് എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
HUM,സ്കോട്ട് വിൽസണൊപ്പം അഭിനയിച്ചവർ
ENTY,ഫ്ലാഗ്‌സ് ഓഫ് ഔർ ഫാദേഴ്‌സിൻ്റെ അതേ സംവിധായകൻ തന്നെ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ദി ഡേ ഓഫ് ദി ട്രിഫിഡ്‌സിൻ്റെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
ENTY,ഡോറിയൻ ഗ്രേയുടെ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ് സംവിധാനം ചെയ്തത്
ENTY,ഐ ലവ് ട്രബിളിൻ്റെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
ENTY,ട്രൈലോജി ഓഫ് ടെറർ II ലെ നടനും ഏത് സിനിമകളിൽ അഭിനയിച്ചു
ENTY,ഫെർണാണ്ടോ സാഞ്ചോ അഭിനയിച്ച സിനിമകളുടെ തരങ്ങൾ ഏതൊക്കെയാണ്
HUM,എസ് ഇ ഹിൻ്റൺ എഴുതിയ ചിത്രങ്ങളുടെ സംവിധായകർ
NUM,സൈമൺ ഓക്ക്‌ലാൻഡ് അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,ജോൺ സ്‌പൈറ്റ്‌സ് എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
HUM,അന്ന മാസി അഭിനയിച്ച സിനിമകളുടെ സംവിധായികയായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
ENTY,ഇൻവിസിബിൾ വേവ്സിലെ നടൻ ഏത് സിനിമകളിലാണ് പ്രത്യക്ഷപ്പെടുന്നത്
HUM,ഡാന ആദം ഷാപ്പിറോ എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
HUM,ഗ്രാൻ്റ് സ്റ്റുവർട്ട് എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
NUM,മിലി അവിതൽ അഭിനയിച്ച സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,ക്രിസ് മുൽക്കി അഭിനയിച്ച സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
ENTY,ഡേവിഡ് കീറ്റിംഗ് എഴുതിയ സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ്
NUM,ഫിലിപ്പ് മുയിൽ എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,ഷുഗർ ടൗണിൻ്റെ അതേ സംവിധായകൻ പങ്കിടുന്ന സിനിമകൾ
ENTY,നമ്മുടെ മുന്തിരിയുടെ അതേ സംവിധായകൻ പങ്കിടുന്ന സിനിമകൾ ഏതൊക്കെയാണ് ടെൻഡർ ഗ്രേപ്സ്
ENTY,ജോൺ ക്വാലൻ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,നൈറ്റ് അറ്റ് ദ മ്യൂസിയത്തിൻ്റെ അതേ സംവിധായകൻ തന്നെ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
HUM,മോനിക്കിനൊപ്പം അഭിനയിച്ചവർ
HUM,മാത്യു മണൽ എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
HUM,ജോർജ് ഡിലിയ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്തയാൾ
HUM,ലുയിഗി ബാർട്ടോലിനിയുടെ സഹ-എഴുത്തുകാരാണ്
ENTY,80 ദിവസത്തിനുള്ളിൽ ലോകമെമ്പാടുമുള്ള ഒരേ നടനെ പങ്കിടുന്ന സിനിമകൾ
ENTY,മക്കോട്ടോ ഷിൻകായ് അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
HUM,ജെറാർഡ് ജോൺസൺ സംവിധാനം ചെയ്ത ചിത്രങ്ങളിൽ അഭിനയിച്ചിട്ടുണ്ട്
ENTY,റോബർട്ട് ഇസഡ്. ലിയോനാർഡ് സംവിധാനം ചെയ്ത സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,ഷീലാ ടെറി അഭിനയിച്ച സിനിമകളുടെ തിരക്കഥാകൃത്ത്
ENTY,മേരി കോർൺമാൻ അഭിനയിച്ച സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
HUM,ഫ്രാൻസെസ്കോ കാസിസ അഭിനയിച്ച സിനിമകളുടെ രചയിതാക്കൾ
ENTY,വില്യം ഡേവിസ് എഴുതിയ സിനിമകളിലെ പ്രധാന ഭാഷകൾ ഏതൊക്കെയാണ്
ENTY,കോസ് ഫോർ അലാറത്തിൻ്റെ നടൻ! ഏത് ചിത്രങ്ങളിലും അഭിനയിച്ചു
HUM,മിയ സാറ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്?
ENTY,ദ ബോയ് നെക്സ്റ്റ് ഡോറിലെ നടനും ഏത് ചിത്രങ്ങളിൽ അഭിനയിച്ചു
HUM,ജോയൽ കോഹൻ എഴുതിയ ചിത്രങ്ങളുടെ സംവിധായകർ
ENTY,ഫാബിയൻ ബിലിൻസ്കി എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
HUM,ടിം മഗ്രോ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്
ENTY,ദ ഡെഡ് പൂളിൻ്റെ സംവിധായകൻ തന്നെയാണ് ഏത് ചിത്രങ്ങളുടെ സംവിധായകനും
NUM,എഡ്വേർഡ് ചൈൽഡ്സ് കാർപെൻ്റർ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
NUM,ഡെന്നിസ് ഫാനിംഗ് എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
NUM,ലൂസിയാന പെദ്രസ അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
HUM,കിം ലിയോണയ്‌ക്കൊപ്പം സിനിമകൾ എഴുതിയിട്ടുണ്ട്
HUM,ഫ്രാങ്ക് റയാൻ എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചു
HUM,ജോൺ സി. റെയ്‌ലി എഴുതിയ സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
HUM,മില്ലിസെൻ്റ് ഷെൽട്ടൺ എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
ENTY,ഹേവുഡ് ഗൗൾഡ് എഴുതിയ സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ്
HUM,ക്ലിഫ് പ്രൗസ് എന്ന നടൻ സഹനടനാണ്
ENTY,ജെറമി ഗാരെലിക്ക് എഴുതിയ സിനിമകളിൽ ഏതൊക്കെ അഭിനേതാക്കളാണ് അഭിനയിച്ചത്
ENTY,ദ ഡ്യുവലിസ്റ്റുകളുടെ അതേ സംവിധായകൻ ഉള്ള സിനിമകൾ
ENTY,ഹിരോമാസ യോനെബയാഷി സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
HUM,കെവിൻ ഡ്രോണി എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
HUM,റിച്ചാർഡ് ഷെങ്ക്മാൻ എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
NUM,എമിൽ സ്റ്റേൺ എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
NUM,എസ് എൻ ബെഹ്മാൻ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,ജാക്വലിൻ സ്കോട്ട് അഭിനയിച്ച ചിത്രങ്ങൾ സംവിധാനം ചെയ്തത്
NUM,ഇമ്മാനുവൽ കാരേർ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
NUM,ജീൻ കോസ്മോസ് എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
ENTY,ബ്രയാൻ ഗുഡ്മാൻ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
NUM,ആൻ്റണി ആംസ്ട്രോങ് എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,കുർട്ട് ഫ്രേ എഴുതിയ സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
ENTY,ഹോയ്റ്റ് യെറ്റ്മാൻ എഴുതിയ സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
ENTY,മിത്ജ ഒകോർൺ സംവിധാനം ചെയ്ത സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
NUM,വിക്ടോറിയ ഹരലബിദൗ അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
NUM,ജോഡി ലിൻ ഒകീഫ് അഭിനയിച്ച ചിത്രങ്ങൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
ENTY,ദി ഫ്യൂജിറ്റീവിൻ്റെ അതേ തിരക്കഥാകൃത്ത് ഏതൊക്കെ സിനിമകളാണ്
ENTY,ബിയോണ്ട് തെറാപ്പിയുടെ അതേ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ്
NUM,അനറ്റോൾ ഡി ഗ്രൻവാൾഡ് എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
ENTY,റിച്ചാർഡ് എം. ഷെർമാൻ എഴുതിയ സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ്
NUM,സാറാ വില്യംസ് എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,മെഡിയയുമായി തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
HUM,ക്ലോഡിയ അബ്രു അഭിനയിച്ച സിനിമകൾ ആരാണ് സംവിധാനം ചെയ്തത്
HUM,എനിഡ് ബാഗ്‌നോൾഡ് എഴുതിയ സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
HUM,ജുൻ ഫാൽക്കൻസ്റ്റീൻ സംവിധാനം ചെയ്ത സിനിമകളിൽ അഭിനയിച്ചത് ആരാണ്
NUM,ബ്രൂണോ റോമി രചിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
ENTY,ഹാലോവീൻടൗൺ ഹൈയുടെ അതേ നടൻ ഉള്ള സിനിമകൾ ഏതൊക്കെയാണ്
HUM,റോസാൻ ബാർ അഭിനയിച്ച ചിത്രങ്ങൾ സംവിധാനം ചെയ്തത് ആരാണ്
ENTY,4 മണിക്ക് പിശാചുമായി തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
ENTY,സ്മൂത്ത് ടോക്കിലെ നടനും ഏത് ചിത്രങ്ങളിൽ അഭിനയിച്ചു
NUM,എപ്പോഴാണ് മാർക്ക് ഒ റോയുടെ രചനകൾ പുറത്തിറങ്ങിയത്
ENTY,എഡ്വേർഡ് സ്വിക്ക് സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലാണ്
HUM,വില്യം ഫോസെറ്റ് അഭിനയിച്ച സിനിമകളുടെ രചയിതാക്കൾ
NUM,സ്കോട്ട് സിൽവർ രചിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
HUM,BoA എന്ന നടൻ ആരോടൊപ്പം അഭിനയിച്ചു
NUM,ആർതർ ടി. ഹോർമാൻ രചിച്ച ചിത്രങ്ങൾ ഏതൊക്കെ വർഷങ്ങളിലാണ് പുറത്തിറങ്ങിയത്
ENTY,ദി ബെല്ലി ഓഫ് ആൻ ആർക്കിടെക്റ്റിനൊപ്പം തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
HUM,ജോൺ പി. മാർക്വാണ്ട് എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചിട്ടുണ്ട്
ENTY,ഗോൾഡൻ ഐയുടെ അതേ തിരക്കഥാകൃത്ത് ഏതൊക്കെ സിനിമകളാണ്
ENTY,ചേസിംഗ് ആമിയുടെ അതേ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ്
ENTY,റോബർട്ട് ക്ലൗസ് സംവിധാനം ചെയ്ത സിനിമകളിലെ പ്രധാന ഭാഷകൾ ഏതൊക്കെയാണ്
ENTY,മക്കിക്കോ എസുമി അഭിനയിച്ച സിനിമകളിലെ പ്രാഥമിക ഭാഷകൾ ഏതൊക്കെയാണ്
HUM,പോൾ കിംഗ് സംവിധാനം ചെയ്ത സിനിമകൾ എഴുതിയത്
ENTY,റോബർട്ട് കെന്നർ എഴുതിയ സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ്
HUM,വൈനോ ലിന്ന എഴുതിയ സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
ENTY,ഹെർബർട്ട് ജെ. ബൈബർമാൻ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
ENTY,വില്യം വീലർ എഴുതിയ സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
